sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
CH505-pl1-5-3-Oct,66164,55436,50718,4718,45852,NA,NA,NA,NA,22913
CH506-6-3-May,48,43,42,1,34,NA,NA,NA,NA,17
CH506-pl1-5-4-Oct,25054,21133,19402,1731,17672,NA,NA,NA,NA,8828
CH507-6-2-May,64,53,46,7,32,NA,NA,NA,NA,16
CH507-pl1-5-5-Oct,73442,62384,57402,4982,51952,NA,NA,NA,NA,25972
CH508-6-1-May,32,24,20,4,18,NA,NA,NA,NA,9
CH508-pl1-5-6-Oct,78408,66259,61002,5257,57108,NA,NA,NA,NA,28547
CH509-7-8-May,2360,1990,1860,130,1498,NA,NA,NA,NA,748
CH509-pl1-5-7-Oct,50304,42085,38468,3617,34838,NA,NA,NA,NA,17416
CH510-7-7-May,6574,5734,5358,376,4496,NA,NA,NA,NA,2247
CH510-pl1-5-8-Oct,38082,31995,29446,2549,26624,NA,NA,NA,NA,13308
CH601-pl1-6-1-Oct,55002,45145,40952,4193,36552,NA,NA,NA,NA,18266
CH602-7-6-May,150,117,106,11,88,NA,NA,NA,NA,44
CH602-pl1-6-2-Oct,55530,45963,41942,4021,37908,NA,NA,NA,NA,18947
CH603-pl1-6-3-Oct,82382,68042,61830,6212,57100,NA,NA,NA,NA,28531
CH604-pl1-6-4-Oct,53768,45086,41352,3734,37510,NA,NA,NA,NA,18741
CH605-pl1-6-5-Oct,59054,49729,45592,4137,41034,NA,NA,NA,NA,20512
CH606-pl1-6-6-Oct,47060,39302,36074,3228,32338,NA,NA,NA,NA,16164
CH607-pl1-6-7-Oct,38272,32018,29380,2638,26544,NA,NA,NA,NA,13269
CH608-pl1-6-8-Oct,39862,32868,29952,2916,26748,NA,NA,NA,NA,13370
CH609-pl1-7-1-Oct,13802,11410,10352,1058,9148,NA,NA,NA,NA,4567
CH610-pl1-7-2-Oct,16282,13725,12610,1115,11428,NA,NA,NA,NA,5711
eCH-BL-7-2-May,366,262,226,36,170,NA,NA,NA,NA,84
eCH-BL-pl3-6-8-Oct,148,112,102,10,88,NA,NA,NA,NA,34
eCH1-7-8-May,43068,36867,34090,2777,28000,NA,NA,NA,NA,13837
eCH1-pl3-7-1-Oct,2244,1822,1636,186,1416,NA,NA,NA,NA,681
eCH2-7-7-May,23668,20411,18736,1675,11990,NA,NA,NA,NA,5929
eCH2-pl3-7-2-Oct,107882,89454,81228,8226,65924,NA,NA,NA,NA,31570
eCH3-7-6-May,81458,70578,65590,4988,54254,NA,NA,NA,NA,26870
eCH3-pl3-7-3-Oct,75450,62146,56124,6022,45764,NA,NA,NA,NA,22466
eCH4-7-5-May,66970,57122,52078,5044,38714,NA,NA,NA,NA,19316
eCH4-pl3-7-4-Oct,90058,75186,68346,6840,58654,NA,NA,NA,NA,28220
eCH5-7-4-May,70086,60979,56546,4433,46912,NA,NA,NA,NA,23092
eCH5-pl3-7-5-Oct,86052,71595,64448,7147,54724,NA,NA,NA,NA,26466
eCH6-7-3-May,2004,1715,1578,137,1300,NA,NA,NA,NA,632
eCH6-pl3-7-6-Oct,112,76,66,10,56,NA,NA,NA,NA,28
neg-6-2-May,174,105,78,27,66,NA,NA,NA,NA,33
neg-7-5-May,170,138,122,16,100,NA,NA,NA,NA,50
neg-9-8-May,36,30,24,6,20,NA,NA,NA,NA,10
pcr-NEG-pl1-7-5-Oct,2968,2553,2372,181,2102,NA,NA,NA,NA,1051
pcr-NEG-pl1-7-7-Oct,2496,2067,1862,205,1674,NA,NA,NA,NA,836
pcr-NEG-pl3-6-5-Oct,842,694,624,70,542,NA,NA,NA,NA,238
pcr-NEG-pl3-6-7-Oct,472,359,318,41,296,NA,NA,NA,NA,132
pcr-POS-pl1-7-6-Oct,3738,3187,2948,239,2730,NA,NA,NA,NA,1362
pcr-POS-pl3-6-6-Oct,6334,5378,4934,444,4682,NA,NA,NA,NA,2339
pos-9-7-May,28,22,18,4,18,NA,NA,NA,NA,8
