"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"sample_type","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick"
"predator_id","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.pseudogracilis","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","CH1","CH1","CH1","CH1","CH2","CH2","CH3","CH3","CH3","CH4","CH4","CH5","CH5","CH5","CH5","CH6","CH6","CH1","CH2","CH2","CH3","CH3","CH4","CH4","CH5","CH5","CH1","CH1","CH2","CH2","CH3","CH3","CH4","CH4","CH5","CH5","CH6","CH6"
"time","May","May","Oct","Oct","May","May","May","Oct","Oct","May","Oct","May","May","Oct","Oct","Oct","Oct","May","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Eudiaptomus_gracilis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hydra_oligactis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Kellicottia_sp._BIOUG30062-G11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keratella_cochlearis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maxillopoda_sp._BOLD:ACW5478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mesocyclops_leuckarti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polyarthra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Polyarthra_dolichoptera_complex_sp._UO-2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polypedilum_sp._9_SC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Polyphemus_pediculus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
