"","Acanthocyclops_robustus","Ascomorpha_ecaudis","Asellus_aquaticus","Chaetogaster_diastrophus","Chironomidae","Chydorus_brevilabris","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cyclopidae","Cyclops","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diplostomum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucypris_virens","Eudiaptomus_gracilis","Eurycercus_lamellatus","Eurytemora_affinis","Gammarus_zaddachi","Harmonia_axyridis","Hemiptera","Homo_sapiens","Hydra","Hydra_oligactis","Hymenoptera","Isopoda","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lumbricus_terrestris","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Osmia_bicornis","Oxyethira_flavicornis","Paraphysomonas_sp.","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Porcellio_scaber","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Spongillida","Stylaria_lacustris","Synchaeta_grandis","Synchaeta_pectinata","Tanytarsus"
"CH116.pl1.2.8.nc.blast",0,0,0,0,0,0,0,0.902647975077882,0.0960539979231568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000778816199376947,0,0,0.000519210799584631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH117.pl1.3.1.nc.blast",0,0,0,0,0,0,0,0.948230567145727,0.0465152217586154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231803430690774,0,0,0,0,0,0,0,0,0.00247256992736826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463606861381548,0,0,0,0,0,0,0
"CH118.pl1.3.2.nc.blast",0,0,0,0,0,0,0,0.939534595865825,0.0492016338655774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272310929570491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000495110781037257,0,0,0,0,0,0,0.000495110781037257,0,0.00711721747741057,0,0,0,0,0
"CH119.pl1.3.3.nc.blast",0,0,0,0,0,0,0,0.858537584488291,0.135317812521335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361848842766437,0,0,0.00143374069775381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109237386495528,0,0,0,0,0,0,0
"CH301.pl1.3.4.nc.blast",0,0,0,0,0,0,0,0.942661718693153,0.0442407043585826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371098013534163,0,0,0.00873171796550971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000654878847413229,0,0,0,0,0,0,0
"CH302.pl1.3.5.nc.blast",0,0,0,0,0,0,0,0.263308475212232,0.735096852868064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656629613995591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000469021152853994,0,0,0,0,0,0,0
"CH303.pl1.3.6.nc.blast",0,0,0,0,0,0,0,0.835223930762121,0.162843458532896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000504159314343333,0,0,0.00109234518107722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH304.pl1.3.7.nc.blast",0,0,0,0,0,0,0,0.943003663003663,0.0551648351648352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000879120879120879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000805860805860806,0,0,0,0,0,0,0
"CH305.pl1.3.8.nc.blast",0,0,0,0,0,0,0,0.680177442877978,0.054691298006806,0,0,0,0,0,0,0,0.000668449197860963,0,0,0,0,0,0,0,0,0,0,0,0,0.000850753524550316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263429752066116,0,0,0,0,0,0,0
"CH306.pl1.4.1.nc.blast",0,0,0,0,0,0,0,0.893767620418691,0.104372863055606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149961010137364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH307.pl1.4.2.nc.blast",0,0,0,0,0,0,0,0.858472737453629,0.139357457828795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139987401133898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000629943305102541,0,0,0,0,0,0,0
"CH308.pl1.4.3.nc.blast",0,0,0,0,0,0,0,0.130966529923705,0.814246827435494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115017444312387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530230418280106,0,0,0,0,0,0,0
"CH309.pl1.4.4.nc.blast",0,0,0,0,0,0,0,0.86624610716282,0.12089754851074,0,0,0,0,0.00143735526630999,0,0.00990178072346882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151720833666054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH310.pl1.4.5.nc.blast",0,0,0,0,0,0,0,0.773044277450397,0.225117586635671,0,0,0,0,0,0,0.00124344488295399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000594691030977996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH401.pl1.4.6.nc.blast",0,0,0,0,0,0,0,0.136964645012935,0.860208872281307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220369838076075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH501.pl1.4.7.nc.blast",0,0,0,0,0,0,0,0.807662835249042,0.190038314176245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153256704980843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000766283524904215,0,0,0
"CH502.pl1.4.8.nc.blast",0,0,0,0,0,0,0,0.221376487143405,0.776960470768837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000639631572214405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000703594729435845,0,0,0,0,0,0,0
