"","Acanthocyclops_robustus","Ascomorpha_ecaudis","Asellus_aquaticus","Chaetogaster_diastrophus","Chironomidae","Chydorus_brevilabris","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cyclopidae","Cyclops","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diplostomum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucypris_virens","Eudiaptomus_gracilis","Eurycercus_lamellatus","Eurytemora_affinis","Gammarus_zaddachi","Harmonia_axyridis","Hemiptera","Homo_sapiens","Hydra","Hydra_oligactis","Hymenoptera","Isopoda","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lumbricus_terrestris","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Osmia_bicornis","Oxyethira_flavicornis","Paraphysomonas_sp.","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Porcellio_scaber","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Spongillida","Stylaria_lacustris","Synchaeta_grandis","Synchaeta_pectinata","Tanytarsus"
"CH118.pl1.3.2.nc.blast",0,0,0,0,0,0,0,15181,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0
"CH119.pl1.3.3.nc.blast",0,0,0,0,0,0,0,12575,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH301.pl1.3.4.nc.blast",0,0,0,0,0,0,0,12955,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH302.pl1.3.5.nc.blast",0,0,0,0,0,0,0,5614,15673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH303.pl1.3.6.nc.blast",0,0,0,0,0,0,0,9940,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH304.pl1.3.7.nc.blast",0,0,0,0,0,0,0,12872,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH305.pl1.3.8.nc.blast",0,0,0,0,0,0,0,11193,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,0,0,0,0,0,0,0
"CH306.pl1.4.1.nc.blast",0,0,0,0,0,0,0,14900,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH307.pl1.4.2.nc.blast",0,0,0,0,0,0,0,12265,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH308.pl1.4.3.nc.blast",0,0,0,0,0,0,0,3416,21238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0
"CH309.pl1.4.4.nc.blast",0,0,0,0,0,0,0,10848,1514,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH310.pl1.4.5.nc.blast",0,0,0,0,0,0,0,14299,4164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH401.pl1.4.6.nc.blast",0,0,0,0,0,0,0,2859,17956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH501.pl1.4.7.nc.blast",0,0,0,0,0,0,0,8432,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH502.pl1.4.8.nc.blast",0,0,0,0,0,0,0,3461,12147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH503.pl1.5.1.nc.blast",0,0,0,0,0,0,0,25534,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH504.pl1.5.2.nc.blast",0,0,0,0,0,0,0,24781,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH505.pl1.5.3.nc.blast",0,0,0,0,0,0,0,20085,3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH506.pl1.5.4.nc.blast",0,0,0,0,0,0,0,6324,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH507.pl1.5.5.nc.blast",0,0,0,0,0,0,0,22170,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH508.pl1.5.6.nc.blast",0,0,0,0,0,0,0,5255,26841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH509.pl1.5.7.nc.blast",0,0,0,0,0,0,0,17064,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH510.pl1.5.8.nc.blast",0,0,0,0,0,0,0,14105,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
